RTT SRTT RTTd RTO
464.0 464.0 174.0 777.2
2034.0 254.25 444.9375 1055.1375
1087.0 135.875 237.78125 563.88125
1990.0 248.75 435.3125 1032.3125
1171.0 146.375 256.15625 607.45625
1210.0 151.25 264.6875 627.6875
1480.0 185.0 323.75 767.75
554.0 69.25 121.1875 287.38750000000005
1694.0 211.75 370.5625 878.7625
974.0 121.75 213.0625 505.2625
894.0 111.75 195.5625 463.7625
819.0 102.375 179.15625 424.85625
471.0 58.875 103.03125 244.33125
1573.0 196.625 344.09375 815.99375
911.0 113.875 199.28125 472.58125
678.0 84.75 148.3125 351.71250000000003
1622.0 202.75 354.8125 841.4125
1235.0 154.375 270.15625 640.65625
2028.0 253.5 443.625 1052.025
1613.0 201.625 352.84375 836.74375
1556.0 194.5 340.375 807.1750000000001
1727.0 215.875 377.78125 895.88125
1613.0 201.625 352.84375 836.74375
694.0 86.75 151.8125 360.0125
582.0 72.75 127.3125 301.9125
1031.0 128.875 225.53125 534.83125
485.0 60.625 106.09375 251.59375
1809.0 226.125 395.71875 938.41875
1915.0 239.375 418.90625 993.40625
1596.0 199.5 349.125 827.9250000000001
940.0 117.5 205.625 487.625
1910.0 238.75 417.8125 990.8125
591.0 73.875 129.28125 306.58125
1415.0 176.875 309.53125 734.03125
1255.0 156.875 274.53125 651.03125
1696.0 212.0 371.0 879.8000000000001
1595.0 199.375 348.90625 827.40625
1162.0 145.25 254.1875 602.7875
1492.0 186.5 326.375 773.975
1473.0 184.125 322.21875 764.11875
1534.0 191.75 335.5625 795.7625
1447.0 180.875 316.53125 750.63125
2045.0 255.625 447.34375 1060.84375
1312.0 164.0 287.0 680.6
891.0 111.375 194.90625 462.20625
1570.0 196.25 343.4375 814.4375
599.0 74.875 131.03125 310.73125000000005
549.0 68.625 120.09375 284.79375000000005
1597.0 199.625 349.34375 828.44375
1823.0 227.875 398.78125 945.68125
788.0 98.5 172.375 408.77500000000003
1196.0 149.5 261.625 620.425
844.0 105.5 184.625 437.825
939.0 117.375 205.40625 487.10625
1408.0 176.0 308.0 730.4
963.0 120.375 210.65625 499.55625000000003
1764.0 220.5 385.875 915.075
1534.0 191.75 335.5625 795.7625
1147.0 143.375 250.90625 595.00625
1557.0 194.625 340.59375 807.69375
552.0 69.0 120.75 286.35
522.0 65.25 114.1875 270.7875
1896.0 237.0 414.75 983.5500000000001
505.0 63.125 110.46875 261.96875
1175.0 146.875 257.03125 609.53125
1581.0 197.625 345.84375 820.1437500000001
1594.0 199.25 348.6875 826.8875
1475.0 184.375 322.65625 765.15625
1857.0 232.125 406.21875 963.31875
1715.0 214.375 375.15625 889.65625
1305.0 163.125 285.46875 676.96875
744.0 93.0 162.75 385.95
1652.0 206.5 361.375 856.975
1291.0 161.375 282.40625 669.70625
1634.0 204.25 357.4375 847.6375
471.0 58.875 103.03125 244.33125
1831.0 228.875 400.53125 949.8312500000001
1537.0 192.125 336.21875 797.31875
1032.0 129.0 225.75 535.35
1561.0 195.125 341.46875 809.7687500000001
702.0 87.75 153.5625 364.1625
1879.0 234.875 411.03125 974.73125
1534.0 191.75 335.5625 795.7625
1380.0 172.5 301.875 715.875
1999.0 249.875 437.28125 1036.98125
1045.0 130.625 228.59375 542.09375
623.0 77.875 136.28125 323.18125
1867.0 233.375 408.40625 968.50625
2053.0 256.625 449.09375 1064.99375
438.0 54.75 95.8125 227.2125
1080.0 135.0 236.25 560.25
1407.0 175.875 307.78125 729.88125
957.0 119.625 209.34375 496.44375
499.0 62.375 109.15625 258.85625000000005
