MOTOR ALTITUDE TEMPERATURE PRESSURE
000 072 23.66 1018.53
000 072 23.66 1018.53
000 072 23.66 1018.57
156 072 23.66 1018.57
157 074 23.67 1018.58
164 074 23.67 1018.58
167 081 23.66 1018.60
169 095 23.66 1018.60
172 110 23.66 1018.57
173 131 23.66 1018.57
175 144 23.66 1018.57
176 158 23.66 1018.57
178 173 23.66 1018.55
179 186 23.66 1018.55
179 199 23.66 1018.54
180 212 23.66 1018.54
180 222 23.66 1018.57
180 229 23.66 1018.57
181 238 23.66 1018.60
181 245 23.66 1018.60
181 253 23.64 1018.57
181 257 23.64 1018.57
181 264 23.64 1018.54
180 270 23.64 1018.54
180 277 23.64 1018.56
180 284 23.64 1018.56
179 290 23.64 1018.51
178 296 23.64 1018.51
178 301 23.63 1018.49
176 304 23.63 1018.49
175 307 23.64 1018.53
174 310 23.64 1018.53
173 313 23.64 1018.52
172 314 23.64 1018.52
171 314 23.64 1018.60
170 314 23.64 1018.60
169 313 23.64 1018.50
169 310 23.64 1018.50
168 307 23.64 1018.53
167 302 23.64 1018.53
167 297 23.64 1018.52
167 292 23.64 1018.52
166 288 23.63 1018.53
164 281 23.63 1018.53
162 269 23.64 1018.59
160 255 23.64 1018.59
158 242 23.64 1018.57
156 227 23.64 1018.57
154 211 23.64 1018.48
152 193 23.64 1018.48
150 175 23.64 1018.52
148 163 23.64 1018.52
146 141 23.64 1018.56
