MOTOR ALTITUDE TEMPERATURE PRESSURE
160 074 24.23 1017.03
162 078 24.23 1017.04
173 088 24.23 1017.04
177 114 24.23 1017.03
184 139 24.23 1017.03
186 161 24.23 1017.06
189 178 24.23 1017.06
191 198 24.22 1017.06
193 225 24.22 1017.06
194 248 24.22 1017.02
195 272 24.22 1017.02
196 292 24.22 1017.05
196 318 24.22 1017.05
196 343 24.22 1017.08
195 365 24.22 1017.08
194 388 24.21 1017.07
193 401 24.21 1017.07
192 405 24.20 1017.09
191 410 24.20 1017.09
190 414 24.20 1017.07
189 418 24.20 1017.07
188 421 24.20 1017.07
186 423 24.20 1017.07
185 425 24.19 1017.05
184 426 24.19 1017.05
184 427 24.19 1017.05
183 428 24.19 1017.05
182 427 24.19 1017.09
181 426 24.19 1017.09
180 424 24.19 1017.09
179 422 24.19 1017.09
178 418 24.20 1017.10
177 413 24.20 1017.10
176 404 24.19 1017.08
176 396 24.19 1017.08
175 388 24.19 1017.09
175 379 24.19 1017.09
175 372 24.20 1017.03
175 367 24.20 1017.03
175 364 24.19 1017.10
175 359 24.19 1017.10
176 357 24.20 1017.08
176 353 24.20 1017.08
177 349 24.20 1017.11
177 347 24.20 1017.11
178 345 24.19 1017.09
178 344 24.19 1017.09
178 344 24.20 1017.08
179 344 24.20 1017.08
179 344 24.19 1017.07
180 344 24.19 1017.07
180 345 24.20 1017.07
180 347 24.20 1017.07
180 348 24.19 1017.06
181 350 24.19 1017.06
181 351 24.20 1017.07
181 354 24.20 1017.07
181 356 24.20 1017.11
181 358 24.20 1017.11
181 360 24.20 1017.07
181 362 24.20 1017.07
181 364 24.20 1017.01
181 366 24.20 1017.01
181 367 24.20 1017.08
181 369 24.20 1017.08
181 369 24.21 1017.11
000 370 24.21 1017.11
181 372 24.21 1017.11
181 372 24.21 1017.11
180 373 24.20 1017.07
180 373 24.20 1017.07
178 374 24.20 1017.07
178 373 24.20 1017.07
176 372 24.20 1017.03
176 371 24.20 1017.03
174 369 24.20 1017.03
174 368 24.20 1017.03
173 364 24.20 1017.12
172 361 24.20 1017.12
171 358 24.20 1017.12
170 353 24.20 1017.12
169 347 24.21 1017.14
168 342 24.21 1017.14
167 334 24.21 1017.14
166 331 24.21 1017.14
165 323 24.20 1017.11
164 317 24.20 1017.11
163 310 24.20 1017.11
162 305 24.20 1017.11
163 297 24.20 1017.08
163 294 24.20 1017.08
163 286 24.20 1017.08
163 282 24.20 1017.08
160 275 24.21 1017.09
159 270 24.21 1017.09
157 261 24.21 1017.09
160 256 24.21 1017.09
159 244 24.20 1017.04
158 238 24.20 1017.04
157 229 24.20 1017.04
156 221 24.20 1017.04
000 210 24.21 1017.06
155 203 24.21 1017.06
154 191 24.21 1017.06
153 182 24.21 1017.06
152 172 24.21 1017.06
151 167 24.21 1017.06
150 156 24.21 1017.06
149 149 24.21 1017.06
148 140 24.21 1017.07
147 136 24.21 1017.07
146 125 24.21 1017.07
145 119 24.21 1017.07
144 109 24.20 1017.09
143 103 24.20 1017.09
142 093 24.20 1017.09
141 088 24.20 1017.09
140 075 24.19 1017.03
139 074 24.19 1017.03
138 074 24.19 1017.03
137 074 24.19 1017.03
136 073 24.21 1017.09
135 073 24.21 1017.09
134 073 24.21 1017.09
160 073 24.21 1017.09
160 074 24.20 1017.05
162 074 24.20 1017.05
162 078 24.20 1017.05
171 080 24.20 1017.05
171 083 24.20 1017.07
176 095 24.20 1017.07
176 108 24.20 1017.07
176 118 24.20 1017.07
179 129 24.20 1017.06
179 137 24.20 1017.06
183 151 24.20 1017.06
183 160 24.20 1017.06
186 171 24.20 1017.17
186 176 24.20 1017.17
189 188 24.20 1017.17
189 198 24.20 1017.17
191 212 24.20 1017.07
191 215 24.20 1017.07
193 230 24.20 1017.07
193 235 24.20 1017.07
195 251 24.20 1017.10
195 257 24.20 1017.10
196 271 24.20 1017.10
196 281 24.20 1017.10
197 298 24.20 1017.07
197 302 24.20 1017.07
197 321 24.20 1017.07
197 332 24.20 1017.07
196 350 24.19 1017.07
196 359 24.19 1017.07
196 368 24.19 1017.07
196 378 24.19 1017.07
195 389 24.19 1017.03
195 393 24.19 1017.03
194 399 24.19 1017.03
194 401 24.19 1017.03
193 406 24.19 1017.08
193 407 24.19 1017.08
192 410 24.19 1017.08
192 412 24.19 1017.08
191 415 24.18 1017.11
191 416 24.18 1017.11
000 418 24.18 1017.11
189 421 24.18 1017.11
189 423 24.18 1017.07
188 424 24.18 1017.07
187 426 24.18 1017.07
186 427 24.18 1017.07
186 428 24.17 1017.06
185 428 24.17 1017.06
185 430 24.17 1017.06
184 430 24.17 1017.06
184 431 24.18 1017.08
183 430 24.18 1017.08
183 431 24.18 1017.08
182 431 24.18 1017.08
181 430 24.19 1017.07
180 429 24.19 1017.07
180 428 24.19 1017.07
179 427 24.19 1017.07
179 424 24.18 1017.07
178 424 24.18 1017.07
178 420 24.18 1017.07
178 418 24.18 1017.07
178 414 24.18 1017.04
177 411 24.18 1017.04
177 408 24.18 1017.04
176 405 24.18 1017.04
176 401 24.16 1017.09
176 399 24.16 1017.09
176 395 24.16 1017.09
176 392 24.16 1017.09
176 387 24.18 1017.09
176 386 24.18 1017.09
176 384 24.18 1017.09
175 379 24.18 1017.09
175 375 24.19 1017.10
176 373 24.19 1017.10
192 370 24.19 1017.10
192 373 24.19 1017.10
190 381 24.19 1017.07
190 381 24.19 1017.07
188 390 24.19 1017.07
188 391 24.19 1017.07
186 396 24.18 1017.07
186 398 24.18 1017.07
184 399 24.18 1017.07
181 401 24.18 1017.07
182 402 24.18 1017.07
182 402 24.18 1017.07
181 401 24.18 1017.07
181 401 24.18 1017.07
181 401 24.18 1017.07
181 401 24.18 1017.07
181 401 24.18 1017.07
181 401 24.18 1017.07
181 400 24.19 1017.08
181 400 24.19 1017.08
181 400 24.19 1017.08
181 400 24.19 1017.08
181 400 24.19 1017.00
181 400 24.19 1017.00
181 400 24.19 1017.00
181 400 24.19 1017.00
181 400 24.19 1017.08
181 401 24.19 1017.08
181 401 24.19 1017.08
181 401 24.19 1017.08
181 400 24.19 1017.14
153 400 24.19 1017.14
180 400 24.19 1017.14
179 400 24.19 1017.14
178 398 24.18 1017.11
177 397 24.18 1017.11
176 396 24.18 1017.11
175 393 24.18 1017.11
000 389 24.18 1017.05
173 387 24.18 1017.05
172 380 24.18 1017.05
171 376 24.18 1017.05
170 371 24.20 1017.10
169 367 24.20 1017.10
168 362 24.20 1017.10
167 356 24.20 1017.10
166 347 24.19 1017.08
165 340 24.19 1017.08
164 333 24.19 1017.08
