RTT SRTT RTTd RTO
2343 2343.0 878.25 3923.8500000000004
1938 2292.375 747.28125 3637.48125
1694 2217.578125 691.35546875 3462.0179687500004
2811 2291.755859375 648.32763671875 3458.74560546875
1278 2165.036376953125 708.0048217773438 3439.4450561523436
2049 2150.5318298339844 556.3865737915039 3152.0276626586915
1373 2053.3403511047363 587.375018119812 3110.6153837203983
1761 2016.7978072166443 504.4807153940201 2924.8630949258804
896 1876.6980813145638 623.535056874156 2999.0611836880444
1849 1873.2358211502433 473.7102479431778 2725.9142674479635
1833 1868.2063435064629 364.0842718339991 2523.558032807661
1860 1867.180550568155 274.85834151753807 2361.9255652997235
1488 1819.7829817471356 289.08950157493746 2340.144084582023
1112 1731.3101090287437 371.644653438389 2400.270485217844
963 1635.2713454001507 446.80132642882944 2439.5137329720437
832 1534.8624272251318 510.816601627905 2454.3323101553606
2626 1671.2546238219902 621.7987952654312 2790.4924552997663
1974 1709.0977958442413 532.574647488013 2667.732161322665
2270 1779.210571363711 522.128342775082 2719.041588358859
2386 1855.0592499432473 524.3314445954998 2798.855850215147
2569 1944.3018437003414 549.4231225215394 2933.263464239112
1803 1926.6391132377987 442.97712020060425 2723.9979295988865
1622 1888.5592240830738 398.8726461712216 2606.529987191273
1196 1801.9893210726896 450.6518148965886 2613.162587886549
2622 1904.4906559386034 517.3661971877906 2835.7498108766267
2249 1947.554323946278 463.3860669042735 2781.6492443739703
2741 2046.735033452993 521.1057918149568 2984.7254587199154
2178 2063.143154271369 419.54355529337533 2818.3215537994447
2172 2076.750259987448 338.4701014731695 2685.996442639153
1295 1979.0314774890169 424.86044547713135 2743.780279347853
2459 2039.0275428028897 423.6384484071261 2801.5767499357166
2625 2112.2740999525286 445.9103113172124 2914.912660323511
2070 2106.9898374584627 343.680192852525 2725.614184593008
2132 2110.116107776155 263.231117695355 2583.932119627794
2382 2144.1015943041357 256.89793969548236 2606.517885756004
1416 2053.088895016119 351.9456785256415 2686.5911163622736
2181 2069.077783139104 291.93981310945503 2594.569446736123
1266 1968.6930602467162 394.6281248937703 2679.023685055503
2728 2063.6064277158766 462.06948674135856 2895.331503850322
2736 2147.655624251392 493.6382089931709 3036.2044004390996
2565 2199.8236712199678 461.52273893988627 3030.564601311763
2496 2236.8457123174717 410.9306261255468 2976.520839343456
2648 2288.239998277788 398.1379700247131 3004.8883443222717
1077 2136.8349984930646 563.562227141801 3151.2470073483064
2081 2129.8556236814316 434.88557627670866 2912.649660979507
1312 2027.6236707212527 505.07009988784466 2936.749850519373
1517 1963.7957118810962 490.50150288615754 2846.69841707618
1401 1893.4462478959592 490.98768913860795 2777.2240883454533
2363 1952.1404669089643 470.9556501267149 2799.860637137051
2421 2010.7479085453438 455.77976045870025 2831.151477371004
1671 1968.2794199771758 416.1546753383191 2717.35783558615
1759 1942.1194924800288 357.89587962374657 2586.3320758027726
1399 1874.2295559200252 387.2292986978162 2571.242293576094
2259 1922.325861430022 374.59050866585665 2596.588777028564
2330 1973.2851287512694 370.1215993115751 2639.5040075121046
2467 2034.9994876573608 385.5913275693411 2729.063877282175
2351 2074.4995517001908 358.31860775195815 2719.4730456537154
1742 2032.9371077376668 341.4732327483853 2647.5889266847603
2613 2105.4449692704584 382.9936822436744 2794.8335973090725
1361 2012.389348111651 450.0925987106686 2822.5560257908546
1374 1932.5906795976948 477.21711893242514 2791.58149367606
2176 1963.016844647983 411.1586280373231 2703.1023751151647
1687 1928.514739066985 368.7476557947386 2592.2605194975145
1423 1865.3253966836119 387.1420910169569 2562.1811605141343
2412 1933.6597220981603 409.94163773817763 2671.55467002688
1209 1843.0772568358902 465.9755425126058 2681.8332333585804
2721 1952.817599731404 541.5272569516032 2927.56666224429
2076 1968.2153997649784 433.09159277245783 2747.7802667554024
2129 1988.3134747943561 359.99032588075437 2636.296061379714
2658 2072.0242904450615 416.4866717993004 2821.7002996838023
2009 2064.146254139429 326.1515673843325 2651.2190754312273
2857 2163.2529723720004 418.05043244524927 2915.743750773449
1732 2109.3463508255004 407.87441204031205 2843.520292498062
2486 2156.428056972313 388.2987947871558 2855.3658875891933
1104 2024.8745498507737 521.4427335530603 2963.4714702462825
2672 2105.765231119427 532.6407423849384 3064.5185674123163
2842 2197.794577229499 560.5319124813291 3206.7520196958912
1111 2061.9452550758115 658.1352481299497 3246.588701709721
1745 2022.3270981913352 562.9332106452961 3035.606877352868
1234 1923.7862109174182 594.6464607133266 2994.1498402014063
1620 1885.812934552741 512.4380791731802 2808.2014770644655
1468 1833.5863177336482 475.72513881329724 2689.891567597583
898 1716.6380280169421 561.4533611142085 2727.2540780225177
1672 1711.0582745148245 430.8545894643625 2486.596535550677
1723 1712.5509902004715 325.753194548154 2298.9067403871486
1290 1659.7321164254126 336.7479250174687 2265.878381456856
1478 1637.015601872236 292.31484423116046 2163.1823214883248
1836 1661.8886516382065 262.7639702638187 2134.86379811308
1805 1679.7775701834307 228.37858515200634 2090.859023457042
865 1577.9303739105019 349.51653234163024 2207.060132125436
1091 1517.0640771716892 368.653418549145 2180.64023056015
904 1440.431067525228 410.5978307931657 2179.507162952926
1291 1421.7521840845745 340.6364191160179 2034.897738493407
1617 1446.1581610740027 298.1877740685128 1982.8961543973257
1714 1479.6383909397523 282.23123281644655 1987.654610009356
1819 1522.0585920722833 285.90877659426405 2036.6943899419587
1746 1550.0512680632478 263.4187654298861 2024.2050458370427
1787 1579.6698595553419 249.3966091835791 2028.5837560857842
1176 1529.211127110924 275.3502386654153 2024.8415567086715
2101 1600.6847362220585 331.5914949435469 2197.549427120443
2435 1704.9741441943013 431.20008515908484 2481.134297480654
2020 1744.3523761700137 392.3119698268102 2450.513921858272
1280 1686.308329148762 395.81105965729813 2398.7682365318988
2630 1804.2697880051667 503.29084774168194 2710.1933139401945
1841 1808.8610645045208 385.50286968013125 2502.766229928757
2045 1838.3784314414556 340.78254439973455 2451.787011360978
2054 1865.3311275112737 302.7541264219825 2410.2885550708424
1574 1828.9147365723645 290.79427895957804 2352.3444386996052
1964 1845.800394500819 247.64561059447877 2291.5624935708806
1251 1771.4503451882167 315.84679424291323 2339.9745748254604
2197 1824.6440520396895 329.9740826722625 2418.597400849762
1552 1790.5635455347283 307.12144838787896 2343.38215263291
2408 1867.7431023428871 365.40531070518745 2525.4726616122243
2722 1974.5252145500262 460.922679391384 2804.1860374545176
1955 1972.0845627312729 349.9631502263562 2602.018233138714
1441 1905.6989923898636 378.6471107672331 2587.263791770883
1163 1812.8616183411307 446.4507376607075 2616.472946130404
1752 1805.2539160484894 348.15153225765295 2431.9266741122647
1412 1756.0971765424283 347.1379433288468 2380.945474534353
911 1650.4600294746247 445.21846486529125 2451.853266232149
1328 1610.1525257902965 404.45198009654257 2338.1660899640733
1089 1545.0084600665095 417.3411000890343 2296.222440226771
1369 1523.0074025581957 351.5076757063247 2155.7212188295803
1300 1495.1314772384212 312.4136260893488 2057.476004199249
1294 1469.9900425836186 278.3077302129162 1970.9439569668677
2319 1576.1162872606662 394.45172584452064 2286.129393780803
861 1486.726751353083 452.2704822216612 2300.813619352073
1448 1481.8859074339478 347.67433852473283 2107.6997167784666
1236 1451.1501690047044 314.54329614472573 2017.3281020652107
1037 1399.3813978791163 326.5028215783234 1987.0864767200983
789 1323.0837231442267 378.3980469697992 2004.2002076898652
1859 1390.0732577511983 401.03022078954984 2111.927655172388
