MOTOR ALTITUDE TEMPERATURE PRESSURE
000 072 23.79 1007.77
000 072 23.80 1007.75
000 072 23.80 1007.75
000 072 23.80 1007.75
000 072 23.80 1007.75
000 072 23.79 1007.72
163 074 23.79 1007.72
163 074 23.79 1007.72
165 077 23.79 1007.72
165 078 23.80 1007.75
175 085 23.80 1007.75
175 089 23.80 1007.75
179 106 23.80 1007.75
179 110 23.82 1007.76
183 129 23.82 1007.76
183 132 23.82 1007.76
187 147 23.82 1007.76
187 152 23.79 1007.76
190 167 23.79 1007.76
190 173 23.79 1007.76
193 192 23.79 1007.76
193 198 23.80 1007.72
195 215 23.80 1007.72
195 224 23.80 1007.72
197 243 23.80 1007.72
197 248 23.79 1007.75
199 268 23.79 1007.75
199 272 23.79 1007.75
200 299 23.79 1007.75
200 306 23.79 1007.76
200 323 23.79 1007.76
200 329 23.79 1007.76
200 354 23.79 1007.76
200 365 23.79 1007.79
199 382 23.79 1007.79
199 388 23.79 1007.79
198 399 23.79 1007.79
198 402 23.79 1007.73
197 410 23.79 1007.73
197 412 23.79 1007.73
196 416 23.79 1007.73
196 419 23.78 1007.74
195 424 23.78 1007.74
195 425 23.78 1007.74
194 429 23.78 1007.74
194 430 23.78 1007.78
193 432 23.78 1007.78
193 433 23.78 1007.78
192 436 23.78 1007.78
192 437 23.79 1007.76
191 439 23.79 1007.76
191 440 23.79 1007.76
190 442 23.79 1007.76
190 442 23.77 1007.73
189 443 23.77 1007.73
189 444 23.77 1007.73
188 445 23.77 1007.73
188 446 23.77 1007.71
186 446 23.77 1007.71
186 446 23.77 1007.71
185 446 23.77 1007.71
185 446 23.77 1007.83
184 446 23.77 1007.83
184 446 23.77 1007.83
183 446 23.77 1007.83
183 445 23.78 1007.79
182 444 23.78 1007.79
182 443 23.78 1007.79
181 441 23.78 1007.79
181 441 23.77 1007.75
180 436 23.77 1007.75
180 435 23.77 1007.75
179 430 23.77 1007.75
179 429 23.77 1007.73
179 424 23.77 1007.73
179 423 23.77 1007.73
178 419 23.77 1007.73
178 416 23.77 1007.76
178 411 23.77 1007.76
178 409 23.77 1007.76
178 404 23.77 1007.76
178 403 23.79 1007.75
177 398 23.79 1007.75
177 397 23.79 1007.75
177 392 23.79 1007.75
177 389 23.77 1007.74
178 386 23.77 1007.74
178 384 23.77 1007.74
178 382 23.77 1007.74
178 381 23.79 1007.80
178 379 23.79 1007.80
178 379 23.79 1007.80
178 376 23.79 1007.80
178 376 23.77 1007.77
178 374 23.77 1007.77
178 373 23.77 1007.77
178 370 23.77 1007.77
178 369 23.77 1007.79
179 367 23.77 1007.79
179 367 23.77 1007.79
179 366 23.77 1007.79
179 365 23.77 1007.72
179 364 23.77 1007.72
179 363 23.77 1007.72
180 362 23.77 1007.72
180 362 23.77 1007.73
180 361 23.77 1007.73
180 361 23.77 1007.73
181 360 23.77 1007.73
181 361 23.77 1007.72
181 361 23.77 1007.72
181 361 23.77 1007.72
181 361 23.77 1007.72
181 361 23.77 1007.77
182 362 23.77 1007.77
182 362 23.77 1007.77
182 364 23.77 1007.77
182 364 23.77 1007.72
182 364 23.77 1007.72
182 365 23.77 1007.72
183 366 23.77 1007.72
183 367 23.77 1007.73
183 369 23.77 1007.73
183 370 23.77 1007.73
183 372 23.77 1007.73
183 372 23.77 1007.78
183 374 23.77 1007.78
183 374 23.77 1007.78
183 374 23.77 1007.78
183 374 23.79 1007.76
183 374 23.79 1007.76
183 374 23.79 1007.76
183 374 23.79 1007.76
183 374 23.78 1007.76
184 374 23.78 1007.76
184 375 23.78 1007.76
184 378 23.78 1007.76
184 379 23.79 1007.79
184 381 23.79 1007.79
184 382 23.79 1007.79
183 383 23.79 1007.79
183 383 23.79 1007.83
181 384 23.79 1007.83
181 384 23.79 1007.83
179 383 23.79 1007.83
179 382 23.78 1007.86
177 380 23.78 1007.86
177 379 23.78 1007.86
175 375 23.78 1007.86
175 374 23.78 1007.72
173 369 23.78 1007.72
173 366 23.78 1007.72
171 360 23.78 1007.72
171 358 23.79 1007.79
169 348 23.79 1007.79
169 346 23.79 1007.79
167 336 23.79 1007.79
167 334 23.79 1007.80
165 324 23.79 1007.80
165 320 23.79 1007.80
164 307 23.79 1007.80
163 304 23.79 1007.78
162 292 23.79 1007.78
161 287 23.79 1007.78
160 273 23.79 1007.78
159 268 23.79 1007.79
158 253 23.79 1007.79
157 248 23.79 1007.79
156 231 23.79 1007.79
155 227 23.79 1007.71
154 210 23.79 1007.71
153 205 23.79 1007.71
152 192 23.79 1007.71
151 185 23.80 1007.81
150 170 23.80 1007.81
149 166 23.80 1007.81
148 148 23.80 1007.81
147 141 23.80 1007.81
146 127 23.80 1007.81
145 124 23.80 1007.81
144 109 23.80 1007.81
143 105 23.80 1007.82
142 092 23.80 1007.82
141 084 23.80 1007.82
140 076 23.80 1007.82
2020-11-29T15:28:53.387477
